Custom table,Dataflow,Dataflow name,Timespan,Last update of data,Downloaded at,Source,Source URL,Download URL,About Consolidated banking statistics
,"BIS,WS_CBS_PUB,1.0",Consolidated banking,2020-03-31 - 2020-12-31,2026-03-16,2026-03-19 14:00 CET,BIS,https://data.bis.org/topics/CBS/data?data_view=table&rows=L_REP_CTY%7CL_CP_COUNTRY&cols=TIME_PERIOD&filter=L_REP_CTY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CNetherlands%257CPortugal%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%257CSpain%255EL_CP_COUNTRY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CKorea%257CNetherlands%257CPortugal%257CSpain%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%255EL_POSITION%3DC%255ECURR_TYPE_BOOK%3DTO1%255EL_INSTR%3DA%255EL_CP_SECTOR%3DA%255EREM_MATURITY%3DA%255EL_MEASURE%3DS%255ECBS_BASIS%3DU%255ECBS_BANK_TYPE%3D4B%255ETIMESPAN%3D2020-01-01_2020-12-31,https://data.bis.org/topics/CBS/data?data_view=table&rows=L_REP_CTY%7CL_CP_COUNTRY&cols=TIME_PERIOD&filter=L_REP_CTY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CNetherlands%257CPortugal%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%257CSpain%255EL_CP_COUNTRY_TXT%3DAustralia%257CAustria%257CBelgium%257CCanada%257CChile%257CFinland%257CFrance%257CGermany%257CGreece%257CIndia%257CIreland%257CItaly%257CJapan%257CKorea%257CNetherlands%257CPortugal%257CSpain%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%255EL_POSITION%3DC%255ECURR_TYPE_BOOK%3DTO1%255EL_INSTR%3DA%255EL_CP_SECTOR%3DA%255EREM_MATURITY%3DA%255EL_MEASURE%3DS%255ECBS_BASIS%3DU%255ECBS_BANK_TYPE%3D4B%255ETIMESPAN%3D2020-01-01_2020-12-31&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/CBS

Reporting country,Counterparty country,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Australia,Australia,2292604.314,2109381.183,2019312.002,1789369.676
Australia,Austria,253.936,267.428,267.281,265.176
Australia,Belgium,884.978,1009.865,393.372,948.088
Australia,Canada,16116.046,14908.204,14872.554,11746.19
Australia,Chile,142.529,168.05,170.358,211.988
Australia,Finland,761.042,664.202,648.922,966.439
Australia,France,12201.698,11533.077,15636.44,9680.055
Australia,Germany,14736.07,9154.579,12120.481,15930.093
Australia,Greece,127.111,140.518,87.567,65.92
Australia,India,4346.17,4959.962,5977.208,6592.907
Australia,Ireland,4763.244,4553.391,4438.345,4124.21
Australia,Italy,1181.6,569.803,535.168,774.158
Australia,Japan,58718.038,50261.241,46805.44,44365.3
Australia,Korea,5657.167,5074.422,5260.517,5322.998
Australia,Netherlands,5504.763,4945.798,4387.072,5920.773
Australia,Portugal,107.061,5.837,5.931,3.829
Australia,Spain,1122.663,925.81,1330.116,3172.428
Australia,Sweden,1123.919,1054.364,1112.273,1470.107
Australia,Switzerland,4655.129,4040.568,3834.674,4814.001
Australia,Türkiye,3.518,4.598,3.107,3.755
Australia,United Kingdom,101796.124,75619.461,70196.564,72835.306
Australia,United States,108833.011,104518.427,116180.307,125930.295
Austria,Australia,706.643,746.455,867.392,690.694
Austria,Austria,527870.075,489878.219,451466.704,418639.057
Austria,Belgium,2456.031,2576.757,2676.054,2471.685
Austria,Canada,1841.479,1750.037,1733.183,1526.138
Austria,Chile,44.998,112.52,30.585,77.244
Austria,Finland,1895.98,1804.7,1701.67,1570.109
Austria,France,14025.988,13841.094,13286.614,11336.593
Austria,Germany,51899.365,49770.182,48691.025,45845.975
Austria,Greece,233.839,294.589,223.805,476.322
Austria,India,116.681,227.023,234.629,162.08
Austria,Ireland,3918.537,3283.698,3088.256,2920.998
Austria,Italy,6064.691,5728.747,5286.214,5083.272
Austria,Japan,440.949,576.393,453.874,260.29
Austria,Korea,672.497,841.042,783.849,805.041
Austria,Netherlands,9430.322,8055.468,7294.435,6062.102
Austria,Portugal,378.012,416.537,375.721,329.664
Austria,Spain,6125.47,5257.231,5684.536,5524.441
Austria,Sweden,2315.319,2196.748,2111.13,2088.697
Austria,Switzerland,9208.257,9707.074,9524.585,10691.21
Austria,Türkiye,166.537,253.001,341.667,474.834
Austria,United Kingdom,11113.051,12558.781,13025.045,11340.034
Austria,United States,10666.29,11827.003,12101.679,12580.501
Belgium,Australia,1753.0,1468.0,1360.0,1502.0
Belgium,Austria,1854.0,1394.0,1399.0,1288.0
Belgium,Belgium,393410.0,377137.0,351706.0,311406.0
Belgium,Canada,5309.0,4728.0,4760.0,4223.0
Belgium,Chile,143.0,171.0,157.0,148.0
Belgium,Finland,1901.0,1403.0,1413.0,1252.0
Belgium,France,22482.0,21912.0,21516.0,23749.0
Belgium,Germany,11126.0,10558.0,10457.0,9784.0
Belgium,Greece,16.0,14.0,11.0,13.0
Belgium,India,145.0,169.0,209.0,236.0
Belgium,Ireland,15374.0,14786.0,14231.0,13750.0
Belgium,Italy,4160.0,4901.0,5394.0,5201.0
Belgium,Japan,2490.0,2952.0,2354.0,2879.0
Belgium,Korea,256.0,357.0,231.0,305.0
Belgium,Netherlands,29917.0,28142.0,26316.0,25839.0
Belgium,Portugal,612.0,600.0,700.0,660.0
Belgium,Spain,7165.0,6747.0,7140.0,7738.0
Belgium,Sweden,1096.0,764.0,837.0,871.0
Belgium,Switzerland,1130.0,1499.0,1394.0,1738.0
Belgium,Türkiye,330.0,340.0,301.0,355.0
Belgium,United Kingdom,27585.0,28450.0,27184.0,24442.0
Belgium,United States,13422.0,14002.0,15646.0,15871.0
Canada,Australia,26801.378,21782.621,22615.772,22073.901
Canada,Austria,2360.589,2254.213,2095.803,1951.612
Canada,Belgium,2073.486,1472.527,2901.909,2287.367
Canada,Canada,2673066.021,2529950.322,2447382.262,2151137.114
Canada,Chile,,,,
Canada,Finland,2470.957,2652.54,2523.414,2274.034
Canada,France,36765.889,18526.159,18955.063,18543.731
Canada,Germany,25936.065,25148.682,24718.134,21726.245
Canada,Greece,1.874,,,
Canada,India,,,,
Canada,Ireland,47906.559,34298.999,30405.263,34256.438
Canada,Italy,491.246,700.453,576.344,388.649
Canada,Japan,59770.796,48613.85,58908.194,50704.83
Canada,Korea,2065.723,1130.279,1521.426,1491.164
Canada,Netherlands,8884.557,8860.451,8888.923,8268.946
Canada,Portugal,,107.771,,
Canada,Spain,2748.38,2320.575,3399.994,2278.946
Canada,Sweden,5570.285,5471.559,5804.953,6457.104
Canada,Switzerland,14848.655,8857.911,9050.645,8194.995
Canada,Türkiye,,,,
Canada,United Kingdom,200089.538,157443.17,165067.515,141165.469
Canada,United States,1446570.769,1370196.601,1340941.377,1364265.666
Chile,Australia,2.737,2.186,3.065,3.215
Chile,Belgium,0.665,4.499,5.393,4.853
Chile,Canada,47.432,43.764,92.003,50.126
Chile,Chile,243199.683,216251.936,209232.518,194656.749
Chile,Finland,0.459,0.133,0.022,0.04
Chile,France,379.209,256.6,317.899,309.324
Chile,Germany,100.349,124.43,62.677,197.983
Chile,India,0.026,,0.061,31.11
Chile,Ireland,15.01,,,
Chile,Italy,5.804,9.004,3.767,3.732
Chile,Japan,92.647,115.536,101.516,119.692
Chile,Korea,22.446,24.222,14.781,2.439
Chile,Netherlands,34.308,24.882,27.293,16.121
Chile,Spain,433.683,344.446,349.214,399.855
Chile,Sweden,0.1,0.126,0.199,3.57
Chile,Switzerland,47.81,29.728,54.995,143.253
Chile,Türkiye,,,,12.272
Chile,United Kingdom,2842.693,2730.016,2992.003,3002.388
Chile,United States,11667.955,11429.1,9153.339,9707.588
Finland,Australia,464.0,384.0,408.0,357.0
Finland,Austria,772.0,762.0,894.0,766.0
Finland,Belgium,1662.0,1496.0,1358.0,2061.0
Finland,Canada,3654.0,3413.0,3270.0,2677.0
Finland,Chile,,,,
Finland,Finland,256821.0,250963.0,235825.0,202438.0
Finland,France,6288.0,13289.0,10096.0,18072.0
Finland,Germany,11379.0,13054.0,12143.0,11284.0
Finland,Greece,,,,
Finland,India,69.0,114.0,79.0,70.0
Finland,Ireland,570.0,476.0,496.0,506.0
Finland,Italy,,,306.0,301.0
Finland,Japan,162.0,170.0,147.0,196.0
Finland,Korea,131.0,176.0,590.0,355.0
Finland,Netherlands,3253.0,5155.0,4500.0,3786.0
