"origin","destination","total_food_value"
"Austria","Belgium",7941.518
"Austria","Bulgaria",79.174
"Austria","Croatia",8857.194
"Austria","Cyprus",1.612
"Austria","Czech Republic",56396.234
"Austria","Denmark",314.432
"Austria","France",7694.207
"Austria","Germany",163334.734
"Austria","Greece",8.468
"Austria","Hungary",159522.456
"Austria","Ireland",20.134
"Austria","Italy",36272.025
"Austria","Latvia",2.868
"Austria","Lithuania",2372.083
"Austria","Netherlands",9397.874
"Austria","Poland",36304.315
"Austria","Portugal",0.294
"Austria","Romania",7753.163
"Austria","Slovak Republic",32129.365
"Austria","Slovenia",20922
"Austria","Spain",490.197
"Austria","Sweden",23.198
"Belgium","Austria",455.395
"Belgium","Bulgaria",22408.741
"Belgium","Czech Republic",6.928
"Belgium","Denmark",6089.302
"Belgium","Estonia",1903.568
"Belgium","Finland",13.127
"Belgium","France",743483.141
"Belgium","Germany",246572.755
"Belgium","Greece",1586.056
"Belgium","Hungary",39516.037
"Belgium","Ireland",2023.777
"Belgium","Italy",38084.683
"Belgium","Lithuania",417.66
"Belgium","Luxembourg",3131.081
"Belgium","Malta",0.138
"Belgium","Netherlands",287958.105
"Belgium","Poland",83756.387
"Belgium","Portugal",2525.872
"Belgium","Romania",2154.934
"Belgium","Spain",59587.847
"Belgium","Sweden",43.493
"Bulgaria","Austria",5446.752
"Bulgaria","Belgium",767.538
"Bulgaria","Croatia",113.282
"Bulgaria","Cyprus",2229.153
"Bulgaria","Czech Republic",283.496
"Bulgaria","Denmark",406.932
"Bulgaria","Estonia",39.574
"Bulgaria","Finland",305.971
"Bulgaria","France",2024.251
"Bulgaria","Germany",6752.204
"Bulgaria","Greece",17074.552
"Bulgaria","Hungary",11564.616
"Bulgaria","Ireland",15.325
"Bulgaria","Italy",6331.532
"Bulgaria","Latvia",95.135
"Bulgaria","Lithuania",34.581
"Bulgaria","Malta",7.74
"Bulgaria","Netherlands",8812.154
"Bulgaria","Poland",56233.197
"Bulgaria","Romania",22709.046
"Bulgaria","Slovak Republic",1944.35
"Bulgaria","Spain",1461.08
"Bulgaria","Sweden",37.672
"Croatia","Austria",478.247
"Croatia","Belgium",71.121
"Croatia","Bulgaria",57.083
"Croatia","Czech Republic",480.07
"Croatia","Denmark",869.547
"Croatia","France",278.602
"Croatia","Germany",937.892
"Croatia","Greece",0.091
"Croatia","Hungary",34046.63
"Croatia","Italy",7978.05
"Croatia","Latvia",0.719
"Croatia","Lithuania",121.366
"Croatia","Netherlands",18984.778
"Croatia","Poland",14528.883
"Croatia","Romania",3654.266
"Croatia","Slovak Republic",1958.191
"Croatia","Slovenia",9921.589
"Croatia","Spain",197.73
"Croatia","Sweden",33.285
"Cyprus","Austria",1292.399
"Cyprus","Belgium",1727.201
"Cyprus","Bulgaria",5913.795
"Cyprus","Denmark",100.209
"Cyprus","France",8568.189
"Cyprus","Germany",3088.025
"Cyprus","Greece",6275.877
"Cyprus","Hungary",1539.498
"Cyprus","Ireland",1985.707
"Cyprus","Italy",1507.611
"Cyprus","Lithuania",1906.974
"Cyprus","Netherlands",11353.956
"Cyprus","Poland",4630.518
"Cyprus","Portugal",52.684
"Cyprus","Romania",5714.993
"Cyprus","Spain",409.114
"Czech Republic","Austria",1844.51
