"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","ProductDescription","Quantity","NetWeight in KGM"
"H4","FRA","0207","France","GRC","Greece",2018,"Import",5,38.442,"Meat and edible offal, of the poult",12609.094,12609
"H4","FRA","0207","France","HRV","Croatia",2018,"Export",6,180.518,"Meat and edible offal, of the poult",112300.815,112301
"H4","FRA","0207","France","HUN","Hungary",2018,"Export",6,1123.632,"Meat and edible offal, of the poult",631353.372,631353
"H4","FRA","0207","France","HUN","Hungary",2018,"Import",5,83748.037,"Meat and edible offal, of the poult",17352005.194,17352005
"H4","FRA","0207","France","IRL","Ireland",2018,"Export",6,5782.027,"Meat and edible offal, of the poult",2268925.752,2268926
"H4","FRA","0207","France","IRL","Ireland",2018,"Import",5,9035.991,"Meat and edible offal, of the poult",3703039.306,3703039
"H4","FRA","0207","France","ITA","Italy",2018,"Export",6,12058.901,"Meat and edible offal, of the poult",4233386.984,4233387
"H4","FRA","0207","France","ITA","Italy",2018,"Import",5,29421.575,"Meat and edible offal, of the poult",8246621.484,8246621
"H4","FRA","0207","France","LTU","Lithuania",2018,"Export",6,385.986,"Meat and edible offal, of the poult",340431.255,340431
"H4","FRA","0207","France","LTU","Lithuania",2018,"Import",5,12460.301,"Meat and edible offal, of the poult",5854126.159,5854126
"H4","FRA","0207","France","LUX","Luxembourg",2018,"Export",6,17745.422,"Meat and edible offal, of the poult",5764970.482,5764970
"H4","FRA","0207","France","LUX","Luxembourg",2018,"Import",5,8.522,"Meat and edible offal, of the poult",3621.794,3622
"H4","FRA","0207","France","LVA","Latvia",2018,"Export",6,1189.385,"Meat and edible offal, of the poult",491621.223,491621
"H4","FRA","0207","France","LVA","Latvia",2018,"Import",5,74.09,"Meat and edible offal, of the poult",36023.42,36023
"H4","FRA","0207","France","MLT","Malta",2018,"Export",6,316.855,"Meat and edible offal, of the poult",134025.238,134025
"H4","FRA","0207","France","NLD","Netherlands",2018,"Export",6,51094.835,"Meat and edible offal, of the poult",20462611.284,20462611
"H4","FRA","0207","France","NLD","Netherlands",2018,"Import",5,235257.244,"Meat and edible offal, of the poult",90183166.275,90183166
"H4","FRA","0207","France","POL","Poland",2018,"Export",6,4948.388,"Meat and edible offal, of the poult",2705965.771,2705966
"H4","FRA","0207","France","POL","Poland",2018,"Import",5,235050.827,"Meat and edible offal, of the poult",94736024.001,94736024
"H4","FRA","0207","France","PRT","Portugal",2018,"Export",6,7117.812,"Meat and edible offal, of the poult",4248104.531,4248105
"H4","FRA","0207","France","PRT","Portugal",2018,"Import",5,4517.763,"Meat and edible offal, of the poult",2117716.329,2117716
"H4","FRA","0207","France","ROM","Romania",2018,"Export",6,1680.797,"Meat and edible offal, of the poult",1090846.131,1090846
"H4","FRA","0207","France","ROM","Romania",2018,"Import",5,25095.139,"Meat and edible offal, of the poult",9471336.012,9471336
"H4","FRA","0207","France","SVK","Slovak Republic",2018,"Export",6,304.619,"Meat and edible offal, of the poult",75159.372,75159
"H4","FRA","0207","France","SVK","Slovak Republic",2018,"Import",5,482.833,"Meat and edible offal, of the poult",224787.097,224787
"H4","FRA","0207","France","SVN","Slovenia",2018,"Export",6,193.525,"Meat and edible offal, of the poult",91102.973,91103
"H4","FRA","0207","France","SWE","Sweden",2018,"Export",6,5450.604,"Meat and edible offal, of the poult",1919147.366,1919147
"H4","FRA","1001","France","AUT","Austria",2018,"Export",6,58.321,"Wheat and meslin.",244284.213,244284
"H4","FRA","1001","France","AUT","Austria",2018,"Import",5,2841.035,"Wheat and meslin.",12938396.472,12938396
"H4","FRA","1001","France","BEL","Belgium",2018,"Export",6,538755.002,"Wheat and meslin.",2720422207.629,2720422208
"H4","FRA","1001","France","BEL","Belgium",2018,"Import",5,5580.622,"Wheat and meslin.",25047364.698,25047365
"H4","FRA","1001","France","BGR","Bulgaria",2018,"Export",6,959.848,"Wheat and meslin.",3771350.799,3771351
"H4","FRA","1001","France","CYP","Cyprus",2018,"Export",6,6265.459,"Wheat and meslin.",29088232.404,29088232
"H4","FRA","1001","France","CZE","Czech Republic",2018,"Export",6,1456.222,"Wheat and meslin.",5616075.093,5616075
"H4","FRA","1001","France","CZE","Czech Republic",2018,"Import",5,30.119,"Wheat and meslin.",130536.252,130536
"H4","FRA","1001","France","DEU","Germany",2018,"Export",6,115976.618,"Wheat and meslin.",577224583.836,577224584
"H4","FRA","1001","France","DEU","Germany",2018,"Import",5,40370.646,"Wheat and meslin.",184793217.807,184793218
"H4","FRA","1001","France","DNK","Denmark",2018,"Export",6,454.489,"Wheat and meslin.",2228354.742,2228355
"H4","FRA","1001","France","DNK","Denmark",2018,"Import",5,79.264,"Wheat and meslin.",364750.534,364751
"H4","FRA","1001","France","ESP","Spain",2018,"Export",6,304817.896,"Wheat and meslin.",1521267543.778,1521267544
"H4","FRA","1001","France","ESP","Spain",2018,"Import",5,17038.46,"Wheat and meslin.",67422938.825,67422939
"H4","FRA","1001","France","EST","Estonia",2018,"Export",6,230.006,"Wheat and meslin.",1184152.628,1184153
"H4","FRA","1001","France","FIN","Finland",2018,"Export",6,1023.08,"Wheat and meslin.",3383478.216,3383478
"H4","FRA","1001","France","FRA","France",2018,"Import",5,0,"Wheat and meslin.",0,0
"H4","FRA","1001","France","GRC","Greece",2018,"Export",6,21294.446,"Wheat and meslin.",98940917.405,98940917
"H4","FRA","1001","France","HRV","Croatia",2018,"Export",6,41.144,"Wheat and meslin.",158659.035,158659
"H4","FRA","1001","France","HUN","Hungary",2018,"Export",6,4212.783,"Wheat and meslin.",16358259.294,16358259
"H4","FRA","1001","France","HUN","Hungary",2018,"Import",5,449.028,"Wheat and meslin.",1965519.198,1965519
"H4","FRA","1001","France","IRL","Ireland",2018,"Export",6,27142.527,"Wheat and meslin.",139729321.156,139729321
"H4","FRA","1001","France","ITA","Italy",2018,"Export",6,344846.055,"Wheat and meslin.",1596384381.662,1596384382
"H4","FRA","1001","France","ITA","Italy",2018,"Import",5,7723.445,"Wheat and meslin.",32971786.837,32971787
"H4","FRA","1001","France","LTU","Lithuania",2018,"Export",6,218.995,"Wheat and meslin.",871042.199,871042
"H4","FRA","1001","France","LTU","Lithuania",2018,"Import",5,3059.155,"Wheat and meslin.",14077288.349,14077288
"H4","FRA","1001","France","LUX","Luxembourg",2018,"Export",6,16506.513,"Wheat and meslin.",70556267.798,70556268
"H4","FRA","1001","France","LUX","Luxembourg",2018,"Import",5,787.63,"Wheat and meslin.",3234770.202,3234770
"H4","FRA","1001","France","LVA","Latvia",2018,"Export",6,122.886,"Wheat and meslin.",476224.814,476225
