"origin","destination","in 1990","in 1995","in 2000","in 2005","in 2010","in 2015","in 2020","in 2024"
"Kenya","Burundi",186,216,202,502,847,1032,1226,1377
"Rwanda","Burundi",221943,160197,66415,61104,54794,64363,76567,85969
"Uganda","Burundi",1833,1546,949,805,731,891,1058,1188
"Tanzania","Burundi",11912,9780,5692,13732,22974,28008,33318,37409
"Congo, Dem. Rep.","Burundi",36654,41447,37951,99099,147611,175768,199585,224091
"Belgium","Burundi",642,621,475,466,497,605,718,806
"France","Burundi",321,310,237,232,248,302,358,402
"Kenya","Comoros",87,86,85,81,77,76,74,74
"Madagascar","Comoros",10810,10701,10595,10142,9689,9651,9605,9569
"Tanzania","Comoros",163,162,160,153,146,145,143,142
"France","Comoros",543,538,532,509,486,482,479,477
"Ethiopia","Djibouti",13405,10943,11023,10103,11222,11676,12578,13235
"Somalia, Fed. Rep.","Djibouti",101216,82625,83230,76278,84725,88152,94976,99940
"Yemen, Rep.","Djibouti",289,236,238,219,242,6157,5322,5600
"Burundi","Eritrea",618,1141,1663,1189,864,1044,913,820
"Comoros","Eritrea",27,60,93,125,159,192,166,149
"Ethiopia","Eritrea",1284,687,91,1554,90,108,94,84
"Kenya","Eritrea",187,202,217,248,290,351,305,274
"Malawi","Eritrea",114,228,343,487,637,771,673,604
"Mozambique","Eritrea",3537,2218,896,876,913,1105,966,867
"Rwanda","Eritrea",991,703,414,385,385,467,407,365
"Somalia, Fed. Rep.","Eritrea",1438,1607,1775,3657,4691,2485,2156,1937
"South Sudan","Eritrea",933,1109,1284,1214,1229,1487,1300,1167
"Uganda","Eritrea",175,682,1190,1187,1257,1521,1331,1195
"Tanzania","Eritrea",218,296,375,394,434,525,459,412
"Zambia","Eritrea",91,121,151,172,199,241,209,188
"Zimbabwe","Eritrea",82,125,168,215,268,324,282,253
"Angola","Eritrea",247,433,620,424,286,346,301,270
"Congo, Dem. Rep.","Eritrea",407,816,1224,1273,1392,1685,1474,1324
"Sudan","Eritrea",131,155,180,170,172,208,181,163
"South Africa","Eritrea",97,143,189,136,101,122,106,95
"China","Eritrea",8,53,98,102,112,135,117,105
"India","Eritrea",39,54,70,83,99,119,103,92
"United Kingdom","Eritrea",34,38,43,44,47,56,48,43
"France","Eritrea",108,159,211,283,360,436,380,341
"Burundi","Ethiopia",0,10,16,74,97,106,131,130
"Djibouti","Ethiopia",975,18802,2300,796,788,761,729,1364
"Eritrea","Ethiopia",64266,49258,27869,19447,40794,139524,169990,176860
"Kenya","Ethiopia",190,8600,2703,596,4350,4422,5372,5564
"Somalia, Fed. Rep.","Ethiopia",395548,319976,177388,37643,86677,263015,204246,389246
"South Sudan","Ethiopia",349048,64067,72662,79562,33673,281162,365470,443743
"Uganda","Ethiopia",0,110,94,62,36,24,18,18
"Congo, Dem. Rep.","Ethiopia",0,40,50,183,466,1026,999,1041
"Sudan","Ethiopia",59262,10273,12364,13973,5440,38743,44791,88958
"China","Ethiopia",350,104,1762,4400,34059,54628,38672,26824
"Syrian Arab Republic","Ethiopia",0,0,0,0,0,16,420,679
"Yemen, Rep.","Ethiopia",0,33,67,15,11,734,2110,2503
"Burundi","Kenya",99,147,198,2045,4256,8312,15098,14270
"Eritrea","Kenya",0,66,961,696,1686,2127,1851,1749
"Ethiopia","Kenya",26695,29521,20846,20917,35309,36889,32115,30353
"Mozambique","Kenya",1043,980,535,523,589,601,523,494
"Rwanda","Kenya",3874,5861,3273,4059,6201,6330,5510,5208
"Somalia, Fed. Rep.","Kenya",7875,172164,159197,208156,392063,488470,425284,401953
"South Sudan","Kenya",5801,53996,81156,62546,53218,95765,121553,114885
"Uganda","Kenya",83355,134005,261491,291776,326978,333789,290597,274655
"Tanzania","Kenya",66464,73119,51289,42082,39120,39935,34767,32860
"Congo, Dem. Rep.","Kenya",394,391,672,2749,9133,24738,43577,41186
"Sudan","Kenya",814,41215,56360,76711,26998,10266,9926,9381
"Namibia","Kenya",119,112,61,60,67,68,58,55
"South Africa","Kenya",197,185,101,98,110,112,96,91
"Comoros","Madagascar",8179,7242,8050,8910,9876,10953,12153,13199
"China","Madagascar",1481,1312,1458,1609,1784,1979,2193,2382
"India","Madagascar",1171,1037,1152,1282,1425,1581,1751,1902
"France","Madagascar",6672,5908,6567,7269,8066,8950,9922,10776
"Burundi","Malawi",705,5896,5677,5410,5314,6659,10079,9834
"Mozambique","Malawi",1075410,60845,58576,55817,54826,47220,40131,39156
"Rwanda","Malawi",2249,5138,4947,4714,6482,5582,6280,6128
"Somalia, Fed. Rep.","Malawi",211,61,59,147,87,74,102,100
"Tanzania","Malawi",3279,10676,10278,9794,9620,8285,7041,6870
"Zambia","Malawi",5637,47571,45797,43640,42865,36918,31375,30614
"Zimbabwe","Malawi",3851,41271,39732,37861,37189,32030,27221,26561
"Congo, Rep.","Malawi",735,1567,1509,1438,1413,1216,1033,1008
"Congo, Dem. Rep.","Malawi",1338,2481,2389,2368,4841,11896,27773,27099
"South Africa","Malawi",1276,9179,8837,8421,8272,7124,6054,5907
"India","Malawi",1362,2683,2583,2462,2419,2083,1770,1727
"United Kingdom","Malawi",769,1639,1578,1504,1478,1272,1081,1055
"Madagascar","Mauritius",56,242,563,1236,1979,2277,2301,2321
"Seychelles","Mauritius",43,39,58,80,108,124,124,125
"South Africa","Mauritius",184,192,307,412,541,622,627,632
"China","Mauritius",346,3273,8024,5151,2564,2951,2981,3007
"Hong Kong SAR, China","Mauritius",91,45,25,21,20,23,22,22
"Japan","Mauritius",23,14,15,11,8,9,8,8
"Bangladesh","Mauritius",71,150,313,3672,7235,8327,8415,8488
"India","Mauritius",515,1483,3278,5252,7517,8651,8778,8855
"Pakistan","Mauritius",1,3,7,82,163,187,187,189
"Sri Lanka","Mauritius",9,19,42,496,979,1126,1137,1147
"Malaysia","Mauritius",36,33,49,49,53,61,60,61
"Russian Federation","Mauritius",34,28,38,39,43,49,48,48
"Ireland","Mauritius",30,14,6,24,44,50,49,49
"United Kingdom","Mauritius",694,450,458,415,395,454,458,462
"Italy","Mauritius",38,56,106,113,127,146,146,147
"Spain","Mauritius",15,7,3,13,24,27,26,26
"Belgium","Mauritius",76,35,15,57,103,118,118,119
"France","Mauritius",788,696,993,1119,1308,1505,1519,1532
"Germany","Mauritius",57,70,124,118,119,136,136,137
"Switzerland","Mauritius",66,30,13,51,92,105,104,105
"Canada","Mauritius",36,27,34,32,32,36,35,35
"United States","Mauritius",37,30,41,40,43,49,48,48
"Burundi","Mozambique",615,846,985,1354,1817,5954,8388,8742
"Kenya","Mozambique",9087,12499,14539,19963,22749,23584,24779,25824
"Malawi","Mozambique",22975,31600,36755,50465,57509,59620,62643,65284
"Seychelles","Mozambique",6212,8545,9939,13647,15553,16123,16940,17655
"Tanzania","Mozambique",2722,3744,4355,5981,6816,7067,7423,7736
"Zambia","Mozambique",1948,2680,3118,4281,4880,5059,5315,5539
"Zimbabwe","Mozambique",35711,49118,57131,78441,89389,92671,97379,101486
"Angola","Mozambique",14337,19720,22937,31493,35889,37206,39092,40741
"Congo, Dem. Rep.","Mozambique",2315,3185,3705,5089,5799,9958,11458,11941
"Lesotho","Mozambique",2875,3955,4601,6319,7201,7465,7842,8173
"South Africa","Mozambique",7397,10175,11835,16250,18519,19198,20171,21022
"Cabo Verde","Mozambique",2500,3439,4001,5495,6262,6491,6819,7107
"Nigeria","Mozambique",1964,2702,3143,4316,4919,5100,5356,5582
"India","Mozambique",900,1238,1441,1980,2256,2338,2455,2559
"Pakistan","Mozambique",516,711,828,1139,1298,1345,1412,1472
"Portugal","Mozambique",1667,2294,2669,3665,4178,4331,4549,4741
"Burundi","Rwanda",26393,37445,56107,68762,64931,134501,131063,130912
"Kenya","Rwanda",955,1455,2218,2617,2598,2581,2575,2572
"Uganda","Rwanda",34106,48486,79241,93430,92808,92195,92061,91955
"Tanzania","Rwanda",15825,24121,36766,43346,43060,42776,42713,42664
"Congo, Dem. Rep.","Rwanda",62526,89770,163420,197717,207397,233744,236657,236385
"Kenya","Seychelles",25,178,331,348,366,409,415,422
"Madagascar","Seychelles",34,279,525,620,716,801,816,829
"Mauritius","Seychelles",258,383,509,502,495,554,564,573
"Somalia, Fed. Rep.","Seychelles",11,13,15,36,58,64,63,64
"Uganda","Seychelles",5,5,6,15,25,28,27,27
"South Africa","Seychelles",83,224,366,297,228,255,258,262
"Nigeria","Seychelles",25,32,40,81,122,136,137,139
"China","Seychelles",58,80,103,279,456,510,519,527
"Bangladesh","Seychelles",11,14,17,107,197,220,223,227
"India","Seychelles",1276,1651,2026,3907,5788,6482,6628,6735
"Maldives","Seychelles",2,1,1,17,34,38,37,38
"Nepal","Seychelles",27,33,39,98,157,175,177,180
"Pakistan","Seychelles",23,17,11,16,22,24,23,23
"Sri Lanka","Seychelles",316,391,467,500,534,598,609,619
"Indonesia","Seychelles",2,114,226,176,126,141,143,145
"Philippines","Seychelles",61,229,398,514,630,705,718,730
"Thailand","Seychelles",5,237,469,341,214,239,242,246
"Russian Federation","Seychelles",79,45,11,48,86,96,97,99
"United Kingdom","Seychelles",274,223,173,216,259,290,295,300
"Italy","Seychelles",22,29,37,73,109,122,123,125
"Spain","Seychelles",11,10,10,16,22,24,23,23
"Belgium","Seychelles",32,26,20,27,34,38,37,38
"France","Seychelles",180,167,154,184,214,239,242,246
"Germany","Seychelles",40,48,57,66,76,85,85,86
"Cuba","Seychelles",20,26,33,36,39,43,42,43
"Australia","Seychelles",67,59,51,48,46,51,50,51
"Eritrea","Somalia, Fed. Rep.",0,0,0,18,37,34,36,48
"Ethiopia","Somalia, Fed. Rep.",460000,18044,555,1148,26183,13641,21764,28964
"Yemen, Rep.","Somalia, Fed. Rep.",0,0,0,0,0,5883,13285,17680
"Eritrea","South Sudan",0,0,0,0,3372,3318,3402,3524
"Ethiopia","South Sudan",0,0,0,0,8509,12786,13110,13582
"Kenya","South Sudan",0,0,0,0,9298,9558,9800,10153
"Uganda","South Sudan",0,0,0,0,125406,145607,151003,156437
"Central African Republic","South Sudan",0,0,0,0,5166,4574,4690,4859
"Chad","South Sudan",0,0,0,0,5327,5184,5315,5506
"Congo, Dem. Rep.","South Sudan",0,0,0,0,60795,87755,93982,97364
"Egypt, Arab Rep.","South Sudan",0,0,0,0,5243,5145,5275,5465
"Libya","South Sudan",0,0,0,0,162,153,156,162
"Sudan","South Sudan",0,0,0,0,0,562381,587668,608817
"Mali","South Sudan",0,0,0,0,178,203,208,215
"Nigeria","South Sudan",0,0,0,0,3467,3537,3626,3756
"India","South Sudan",0,0,0,0,1364,1414,1449,1501
"Burundi","Uganda",57759,59232,60828,51836,36948,36471,53927,42181
"Eritrea","Uganda",0,0,28,148,5278,9379,15472,41731
"Ethiopia","Uganda",0,22,236,340,1770,2364,3098,10059
"Kenya","Uganda",22693,23568,24442,24645,24321,23998,23675,23416
"Rwanda","Uganda",257379,187709,104439,92150,84421,80434,76677,79149
"Somalia, Fed. Rep.","Uganda",1095,4352,5982,8458,22748,41622,53018,65070
"South Sudan","Uganda",0,0,0,0,0,179082,875322,923658
"Tanzania","Uganda",57459,51666,45872,40687,35977,31267,26558,22790
"Congo, Dem. Rep.","Uganda",48439,57379,59982,80038,161865,299572,526428,637206
"Sudan","Uganda",57470,210776,240251,265185,89542,89403,107636,141990
"United Kingdom","Uganda",597,953,1310,1285,963,641,320,62
"Canada","Uganda",146,196,247,265,259,253,246,241
"United States","Uganda",263,492,721,899,1037,1174,1312,1422
"Australia","Uganda",137,137,137,146,163,180,197,210
"Burundi","Tanzania",232210,310644,628609,461225,111256,175325,222115,241069
"Comoros","Tanzania",343,458,487,551,567,596,533,578
"Kenya","Tanzania",33613,31740,30272,29010,27864,27247,24274,26345
"Malawi","Tanzania",7218,7121,7098,7048,7011,6907,6153,6678
"Mauritius","Tanzania",113,151,161,181,187,192,170,185
"Mozambique","Tanzania",144353,57995,46739,36267,28177,14651,13052,14166
"Rwanda","Tanzania",68609,600656,49366,13231,5246,581,517,561
"Seychelles","Tanzania",214,286,305,345,355,374,332,360
"Somalia, Fed. Rep.","Tanzania",467,4247,3655,3424,2273,2967,2642,2867
"Uganda","Tanzania",19706,15546,12286,9484,6938,4857,4326,4695
"Zambia","Tanzania",18188,14501,13584,11845,10265,8573,7637,8289
"Zimbabwe","Tanzania",488,652,693,753,809,852,759,824
"Angola","Tanzania",717,958,1018,1153,1186,1249,1115,1210
"Congo, Rep.","Tanzania",15007,22000,23123,23777,24354,25017,22287,24189
"Congo, Dem. Rep.","Tanzania",19354,21834,112286,150345,62386,59508,70736,76772
"Botswana","Tanzania",80,108,116,132,136,141,125,136
"Eswatini","Tanzania",51,69,74,83,86,88,77,84
"Lesotho","Tanzania",79,106,113,134,140,149,132,143
"Namibia","Tanzania",370,494,526,571,613,644,573,622
"South Africa","Tanzania",409,547,582,659,678,712,633,687
"India","Tanzania",4968,6308,6642,7198,7629,8010,7135,7744
"Pakistan","Tanzania",407,517,545,617,635,668,595,646
"United Kingdom","Tanzania",682,866,912,1015,1040,1061,944,1025
"Italy","Tanzania",360,457,482,536,550,575,511,555
"Germany","Tanzania",605,769,810,901,924,967,861,934
"Canada","Tanzania",184,234,247,275,282,294,261,283
"United States","Tanzania",808,1027,1082,1204,1234,1291,1149,1247
"Burundi","Zambia",0,271,1796,3825,3243,4856,7018,9305
"Kenya","Zambia",433,328,249,364,536,472,660,875
"Malawi","Zambia",17073,12382,6937,9665,13467,10363,13422,17796
"Mozambique","Zambia",41455,3127,545,842,1301,1146,1603,2125
"Rwanda","Zambia",0,2285,5662,6873,7462,6573,9202,12201
"Uganda","Zambia",349,359,370,355,456,401,559,741
"Tanzania","Zambia",6930,6172,4322,5057,5918,4726,6617,8773
"Zimbabwe","Zambia",34829,23707,9056,12444,17226,13175,16816,22297
"Angola","Zambia",123807,141001,238248,98687,37306,27864,31424,41665
"Cameroon","Zambia",10,13,18,66,243,214,299,396
"Congo, Rep.","Zambia",116,456,4330,5632,8481,7471,10460,13869
"Congo, Dem. Rep.","Zambia",27297,31525,58237,73742,20933,26440,50661,67171
"Egypt, Arab Rep.","Zambia",235,139,83,116,164,144,200,265
"Botswana","Zambia",469,228,111,319,918,808,1130,1498
"Namibia","Zambia",2360,473,101,251,630,554,774,1026
"South Africa","Zambia",6328,2660,1535,2170,3072,2706,3788,5022
"Ghana","Zambia",484,283,166,170,175,154,214,284
"Mali","Zambia",220,206,194,205,217,191,267,354
"Nigeria","Zambia",160,148,138,263,508,447,625,829
"Senegal","Zambia",115,138,166,153,142,125,175,232
"China","Zambia",100,128,166,408,1007,887,1241,1645
"Japan","Zambia",146,137,129,113,100,88,123,163
"India","Zambia",4284,3854,3468,4007,4630,4078,5709,7569
"United Kingdom","Zambia",1987,1434,1036,1154,1286,1132,1584,2100
"France","Zambia",65,59,55,62,70,61,84,111
"Germany","Zambia",311,220,157,209,279,245,341,452
"Canada","Zambia",227,188,157,177,200,176,246,326
"United States","Zambia",459,460,462,662,949,836,1169,1550
"Australia","Zambia",81,81,83,148,264,232,323,428
"Malawi","Zimbabwe",69618,67945,92989,102211,103681,104247,108491,111872
"Mozambique","Zimbabwe",482855,266322,197838,145402,117799,118442,122923,126753
"Zambia","Zimbabwe",18966,22815,26337,29759,30373,30538,31692,32680
"Botswana","Zimbabwe",2945,2924,4012,4134,3705,3725,3865,3985
"South Africa","Zimbabwe",11426,15313,17024,19010,18910,19013,19731,20346
"United Kingdom","Zimbabwe",19136,18132,23747,19394,12174,12243,12705,13101
"Mozambique","Angola",97,113,128,169,205,235,248,256
"Rwanda","Angola",46,115,183,536,879,1186,1260,1299
"Zambia","Angola",119,139,158,209,254,290,307,316
"Chad","Angola",12,14,16,22,27,31,1889,1947
"Congo, Rep.","Angola",410,477,543,715,870,997,1059,1091
"Congo, Dem. Rep.","Angola",12178,14957,17735,24738,31210,75667,90444,93210
"Sao Tome and Principe","Angola",3112,3617,4121,5417,6593,6441,6852,7062
"Namibia","Angola",345,401,457,601,732,839,890,917
"South Africa","Angola",2437,2832,3226,4241,5162,5917,6295,6487
"Cabo Verde","Angola",3569,4147,4724,6209,7558,8662,9215,9497
"Cote d'Ivoire","Angola",5,6,7,21,1424,6448,12644,13031
"Guinea","Angola",131,152,173,228,277,9252,18142,18697
"Portugal","Angola",5298,6156,7014,6772,6384,5867,5292,5454
"Angola","Cameroon",0,0,0,2571,2046,2555,2976,3303
"Central African Republic","Cameroon",0,0,0,14607,105626,271319,303005,336349
"Chad","Cameroon",95527,88874,82221,70899,49629,33968,27852,30917
"Congo, Rep.","Cameroon",0,0,0,2972,2365,2953,3439,3817
"Congo, Dem. Rep.","Cameroon",0,0,0,4102,3265,4078,4750,5273
"Equatorial Guinea","Cameroon",0,0,0,3377,2688,3357,3911,4341
"Gabon","Cameroon",0,0,0,1061,845,1055,1228,1363
"Benin","Cameroon",0,0,0,2414,1921,2400,2795,3103
"Guinea","Cameroon",0,0,0,4605,3665,4577,5331,5918
"Liberia","Cameroon",0,0,0,4281,3407,4255,4956,5501
"Mali","Cameroon",0,0,0,8251,6567,8202,9556,10608
"Niger","Cameroon",0,0,0,10566,8409,10503,12236,13583
"Nigeria","Cameroon",105140,97818,90495,101721,82748,131616,169602,188266
"Senegal","Cameroon",0,0,0,3172,2524,3153,3673,4077
"United Kingdom","Cameroon",0,0,0,256,204,255,295,327
"Greece","Cameroon",0,0,0,193,153,191,220,244
"Italy","Cameroon",0,0,0,511,407,508,590,655
"France","Cameroon",11808,10986,10163,4643,3695,4615,5376,5968
"Germany","Cameroon",0,0,0,296,236,294,340,377
"Netherlands","Cameroon",0,0,0,160,127,159,184,204
"Canada","Cameroon",0,0,0,179,143,178,207,230
"United States","Cameroon",0,0,0,823,655,819,952,1057
"South Sudan","Central African Republic",0,0,0,0,0,0,2236,2388
"Chad","Central African Republic",10048,13169,15183,11850,11638,10026,10608,11328
"Congo, Dem. Rep.","Central African Republic",13224,20510,26065,20344,19981,17213,18212,19448
"Sao Tome and Principe","Central African Republic",88,104,111,87,86,73,77,82
"Egypt, Arab Rep.","Central African Republic",67,65,58,45,45,38,39,42
"Sudan","Central African Republic",22179,27015,29587,23093,22680,19539,20695,22100
"South Africa","Central African Republic",81,84,80,63,61,52,53,57
"Mali","Central African Republic",352,422,457,357,350,301,317,339
"Togo","Central African Republic",5,9,13,11,11,9,8,9
"Cyprus","Central African Republic",5,8,11,9,9,7,6,6
"Turkiye","Central African Republic",6,8,10,9,9,7,6,6
"Russian Federation","Central African Republic",164,193,207,162,159,136,143,153
"Denmark","Central African Republic",1,2,3,3,3,2,1,1
"Ireland","Central African Republic",1,9,16,13,13,10,10,11
"Sweden","Central African Republic",10,15,18,15,15,12,12,13
"Italy","Central African Republic",7,56,101,79,77,66,70,75
"Slovenia","Central African Republic",15,42,66,52,50,43,44,47
"Austria","Central African Republic",20,27,32,25,25,21,22,23
"France","Central African Republic",10577,13090,14506,11322,11120,9580,10135,10823
"Netherlands","Central African Republic",19,36,50,39,39,33,34,36
"Switzerland","Central African Republic",151,193,220,172,169,145,153,163
"Canada","Central African Republic",19,157,281,220,216,186,195,208
"United States","Central African Republic",478,683,831,649,637,548,579,618
"Australia","Central African Republic",9,13,16,13,13,10,10,11
"Cameroon","Chad",30992,33673,36353,25161,29798,30702,35635,40472
"Central African Republic","Chad",8067,8765,9463,63523,75231,87583,101662,115460
"Congo, Rep.","Chad",715,777,839,581,688,846,980,1113
"Congo, Dem. Rep.","Chad",98,200,301,210,248,304,351,399
"Gabon","Chad",292,318,343,238,282,347,401,455
"Libya","Chad",1096,1191,1286,891,1055,1297,1504,1708
"Sudan","Chad",9529,19071,28613,247573,293205,320988,372594,1071034
"Niger","Chad",2614,2840,3066,2122,2513,3092,3586,4073
"Nigeria","Chad",14822,16104,17386,2028,2402,6531,13033,14802
"France","Chad",886,963,1039,720,853,1048,1216,1381
"Rwanda","Congo, Rep.",0,5503,12480,7936,18900,25119,24955,24825
"Angola","Congo, Rep.",10334,18270,31100,15550,31028,41238,40969,40756
"Cameroon","Congo, Rep.",3464,4003,5614,3570,8502,11300,11225,11167
"Central African Republic","Congo, Rep.",10616,11844,16245,14620,24601,32696,32481,32312
"Chad","Congo, Rep.",3239,3743,5249,3338,7949,10565,10494,10439
"Congo, Dem. Rep.","Congo, Rep.",67316,110720,183780,230684,252142,170368,169268,168387
"Equatorial Guinea","Congo, Rep.",485,560,786,500,1190,1582,1570,1562
"Gabon","Congo, Rep.",970,1121,1572,1000,2380,3163,3141,3125
"Benin","Congo, Rep.",4357,5250,7549,7171,11432,15194,15094,15015
"Mali","Congo, Rep.",4678,9493,16851,10715,25520,33918,33696,33521
"Mauritania","Congo, Rep.",965,1115,1564,994,2369,3149,3127,3111
"Senegal","Congo, Rep.",3468,4436,6591,9227,9981,13265,13178,13109
"Togo","Congo, Rep.",747,863,1211,770,1834,2437,2419,2406
"China","Congo, Rep.",283,327,459,292,695,924,917,912
"Lebanon","Congo, Rep.",358,414,580,369,878,1167,1158,1152
"Russian Federation","Congo, Rep.",790,913,1280,814,1938,2576,2558,2545
"Portugal","Congo, Rep.",442,511,716,455,1084,1441,1431,1424
"France","Congo, Rep.",8574,6041,5127,3260,7765,10320,10251,10198
"Germany","Congo, Rep.",178,205,288,183,436,579,574,571
"Cuba","Congo, Rep.",164,190,266,169,403,536,531,528
"United States","Congo, Rep.",51,59,83,53,125,166,164,163
"Burundi","Congo, Dem. Rep.",20203,128458,36692,35973,37626,38377,59145,67352
"Rwanda","Congo, Dem. Rep.",22972,1132791,85936,82035,123871,275136,251333,286208
"South Sudan","Congo, Dem. Rep.",113409,137306,118742,57568,4465,8596,90971,103594
"Uganda","Congo, Dem. Rep.",18418,19780,24177,30118,33,6115,5950,6776
"Angola","Congo, Dem. Rep.",468462,276402,325733,262144,259584,181954,177028,201592
"Central African Republic","Congo, Dem. Rep.",0,0,0,0,0,253402,323269,368125
"Congo, Rep.","Congo, Dem. Rep.",3647,5912,9470,9473,1549,6431,6242,7108
"Sudan","Congo, Dem. Rep.",15895,15271,16643,16647,2506,5523,5370,6115
"Cameroon","Equatorial Guinea",202,268,333,486,638,798,957,1033
"Gabon","Equatorial Guinea",65,86,107,156,205,256,307,331
"Sao Tome and Principe","Equatorial Guinea",378,501,623,909,1194,1493,1794,1936
"Nigeria","Equatorial Guinea",91,121,150,219,287,359,430,464
"Spain","Equatorial Guinea",324,429,534,779,1023,1279,1536,1658
"France","Equatorial Guinea",1154,1529,1903,2776,3649,4561,5482,5917
"Burundi","Gabon",52,69,87,95,109,153,166,179
"Rwanda","Gabon",65,87,108,119,137,191,209,226
"Angola","Gabon",342,457,572,624,723,1011,1111,1199
"Cameroon","Gabon",15661,20944,26199,28544,33089,46269,50906,54949
"Chad","Gabon",1398,1870,2339,2550,2955,4132,4543,4904
"Congo, Rep.","Gabon",5045,6747,8440,9393,10660,14905,16396,17698
"Congo, Dem. Rep.","Gabon",2754,3683,4607,5019,5818,8135,8949,9660
"Equatorial Guinea","Gabon",26892,35966,44984,49009,56815,79434,87411,94354
"Sao Tome and Principe","Gabon",2012,2690,3366,3667,4251,5944,6539,7058
"Algeria","Gabon",34,45,57,62,72,100,108,117
"Morocco","Gabon",221,295,369,402,467,653,717,774
"Tunisia","Gabon",69,93,116,126,146,204,223,241
"South Africa","Gabon",4,5,7,7,8,12,11,12
"Benin","Gabon",16141,21584,26999,29417,34101,47682,52460,56627
"Burkina Faso","Gabon",2161,2891,3616,3940,4567,6386,7024,7582
"Cote d'Ivoire","Gabon",1049,1403,1755,1913,2216,3099,3408,3679
"Ghana","Gabon",1968,2631,3291,3586,4156,5811,6392,6900
"Guinea","Gabon",1539,2058,2574,2805,3251,4546,4999,5396
"Mali","Gabon",17055,22807,28529,31083,36033,50384,55434,59837
"Nigeria","Gabon",7392,9887,12367,13475,15619,21840,24029,25938
"Senegal","Gabon",9431,12612,15776,17189,19925,27861,30652,33087
"Togo","Gabon",7116,9517,11905,12971,15035,21023,23129,24966
"China","Gabon",107,143,179,195,226,316,344,371
"Korea, Dem. People's Rep.","Gabon",50,67,83,90,105,146,158,171
"Japan","Gabon",10,13,16,18,21,29,29,31
"Korea, Rep.","Gabon",60,80,100,110,127,177,193,208
"Israel","Gabon",5,6,7,8,11,15,14,15
"Lebanon","Gabon",773,1034,1293,1409,1633,2284,2511,2710
"Syrian Arab Republic","Gabon",9,12,15,16,18,26,27,29
"Belgium","Gabon",154,206,258,282,327,457,501,541
"France","Gabon",4969,6645,8312,9056,10497,14678,16146,17428
"Germany","Gabon",27,36,46,50,57,80,86,93
"Canada","Gabon",90,121,151,164,190,266,291,314
"United States","Gabon",169,226,283,310,359,502,550,594
"Mozambique","Sao Tome and Principe",243,228,213,167,131,116,102,93
"Angola","Sao Tome and Principe",468,556,654,514,404,358,319,292
"Equatorial Guinea","Sao Tome and Principe",305,286,268,210,165,146,129,118
"Gabon","Sao Tome and Principe",11,221,436,342,268,237,210,192
"Cabo Verde","Sao Tome and Principe",4250,3343,2488,1956,1538,1363,1220,1115
"Portugal","Sao Tome and Principe",206,212,218,171,134,118,104,95
"Somalia, Fed. Rep.","Algeria",926,6248,11570,9147,10050,10923,11361,11773
"Libya","Algeria",1982,2154,2325,1838,2019,2195,2281,2364
"Sudan","Algeria",9127,5362,1597,1262,1386,1506,1566,1623
"Indonesia","Algeria",1000,1223,1446,1143,1255,1363,1416,1467
"Malaysia","Algeria",1651,1264,877,694,762,827,859,890
"Iraq","Algeria",918,4249,7579,5992,6584,7156,7441,7711
"Jordan","Algeria",2286,2272,2258,1785,1961,2132,2216,2296
"Kuwait","Algeria",1420,1308,1196,946,1039,1129,1172,1215
"Lebanon","Algeria",1564,1395,1225,968,1063,1155,1199,1242
"Saudi Arabia","Algeria",3068,3497,3926,3103,3409,3706,3852,3992
"Syrian Arab Republic","Algeria",3550,3312,3073,2429,2669,6211,7757,8038
"Yemen, Rep.","Algeria",2593,2480,2366,1870,2054,2232,2320,2404
"Russian Federation","Algeria",6287,3545,802,634,696,757,785,813
"United Kingdom","Algeria",2060,1430,800,632,694,754,782,810
"Italy","Algeria",3143,1942,740,585,642,698,725,751
"France","Algeria",2086,1321,556,439,482,523,543,563
"Germany","Algeria",6544,3661,778,615,675,733,761,789
